Subnet Calculation Results
------------------------------------------------------------------------
Subnet    Network Address   Host Range                      Broadcast Address
360       17.16.89.192      17.16.89.193 - 17.16.89.254          17.16.89.255
361       17.16.90.0        17.16.90.1 - 17.16.90.62           17.16.90.63
362       17.16.90.64       17.16.90.65 - 17.16.90.126          17.16.90.127
363       17.16.90.128      17.16.90.129 - 17.16.90.190          17.16.90.191
364       17.16.90.192      17.16.90.193 - 17.16.90.254          17.16.90.255
365       17.16.91.0        17.16.91.1 - 17.16.91.62           17.16.91.63
366       17.16.91.64       17.16.91.65 - 17.16.91.126          17.16.91.127
367       17.16.91.128      17.16.91.129 - 17.16.91.190          17.16.91.191
368       17.16.91.192      17.16.91.193 - 17.16.91.254          17.16.91.255
369       17.16.92.0        17.16.92.1 - 17.16.92.62           17.16.92.63
370       17.16.92.64       17.16.92.65 - 17.16.92.126          17.16.92.127
371       17.16.92.128      17.16.92.129 - 17.16.92.190          17.16.92.191
372       17.16.92.192      17.16.92.193 - 17.16.92.254          17.16.92.255
373       17.16.93.0        17.16.93.1 - 17.16.93.62           17.16.93.63
374       17.16.93.64       17.16.93.65 - 17.16.93.126          17.16.93.127
375       17.16.93.128      17.16.93.129 - 17.16.93.190          17.16.93.191
376       17.16.93.192      17.16.93.193 - 17.16.93.254          17.16.93.255
377       17.16.94.0        17.16.94.1 - 17.16.94.62           17.16.94.63
378       17.16.94.64       17.16.94.65 - 17.16.94.126          17.16.94.127
379       17.16.94.128      17.16.94.129 - 17.16.94.190          17.16.94.191
380       17.16.94.192      17.16.94.193 - 17.16.94.254          17.16.94.255
